"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.royole.bwsettings","1","5h57m10s741ms","21430741","99%","21430741","21430741","0","0","","0","0",""
"com.royole.bwlauncher","1","5h57m10s709ms","21430709","99%","21430709","21430709","0","0","","0","0",""
"com.android.managedprovisioning","1","5h57m7s99ms","21427099","99%","21427099","21427099","0","0","","0","0",""
"com.android.systemui","1","5h57m11s632ms","21431632","99%","21431632","21431632","0","0","","0","0",""
"android.process.acore","1","5h57m7s940ms","21427940","99%","21427940","21427940","0","0","","0","0",""
"android.process.media","1","5h57m11s744ms","21431744","99%","21431744","21431744","0","0","","0","0",""
"com.android.inputmethod.pinyin","1","5h57m11s27ms","21431027","99%","21431027","21431027","0","0","","0","0",""
"com.android.onetimeinitializer","1","5h57m6s757ms","21426757","99%","21426757","21426757","0","0","","0","0",""
"WebViewLoader-armeabi-v7a","1","5h57m11s710ms","21431710","99%","21431710","21431710","0","0","","0","0",""
"com.android.settings","1","5h57m7s276ms","21427276","99%","21427276","21427276","0","0","","0","0",""
"com.android.keychain","1","5h57m7s310ms","21427310","99%","21427310","21427310","0","0","","0","0",""
